Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
HT,D,D1,D_SOD-123,1,C179717,JLC-EXT
Kailh,SW_Push,SW1,SW_Hotswap_Kailh_MX_1.00u,1,C2803348,JLC-EXT
